Info 0    [20:30:37.002] Starting TS Server
Info 1    [20:30:37.003] Version: 4.5.4
Info 2    [20:30:37.004] Arguments: /Users/samuelbanya/.nvm/versions/node/v16.14.2/bin/node /usr/local/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/samuelbanya/hub/Development/code/phase-0-intro-to-js-2-debugging-in-node/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/g1/tzqw879134sg6jrks5nf5nhm0000gn/T/742140acacd4400adf824c8e44ca5922/tscancellation*
Info 3    [20:30:37.004] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [20:30:37.004] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [20:30:37.021] Format host information updated
Info 6    [20:30:37.024] Search path: /Users/samuelbanya/hub/Development/code/phase-0-intro-to-js-2-debugging-in-node
Info 7    [20:30:37.024] For info: /Users/samuelbanya/hub/Development/code/phase-0-intro-to-js-2-debugging-in-node/index.js :: No config files found.
Info 8    [20:30:37.029] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [20:30:37.467] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 438.3020210042596ms
Info 10   [20:30:37.467] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [20:30:37.468] 	Files (19)

Info 12   [20:30:37.468] -----------------------------------------------
Info 13   [20:30:37.508] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [20:30:37.514] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 6.141110993921757ms
Info 15   [20:30:37.514] Different program with same set of files
Info 16   [20:30:38.218] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [20:30:38.225] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 6.854856997728348ms
Info 18   [20:30:38.225] Different program with same set of files
Info 19   [20:30:38.503] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [20:30:38.510] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 7.154832996428013ms
Info 21   [20:30:38.510] Different program with same set of files
Info 22   [20:30:41.836] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [20:30:41.841] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 5.259650006890297ms
Info 24   [20:30:41.841] Different program with same set of files
Info 25   [20:30:41.846] getCompletionData: Get current token: 0.02551800012588501
Info 26   [20:30:41.847] getCompletionData: Is inside comment: 0.13278299570083618
Info 27   [20:30:41.847] getCompletionData: Get previous token: 0.08225999772548676
Info 28   [20:30:41.847] getCompletionsAtPosition: isCompletionListBlocker: 0.3483239933848381
Info 29   [20:30:41.852] getExportInfoMap: cache miss or empty; calculating new results
Info 30   [20:30:41.853] getExportInfoMap: done in 0.6199130043387413 ms
Info 31   [20:30:41.853] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 32   [20:30:41.853] collectAutoImports: response is complete
Info 33   [20:30:41.853] collectAutoImports: 0.10121899843215942
Info 34   [20:30:41.853] getCompletionData: Semantic work: 5.435933999717236
Info 35   [20:30:41.868] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.873842000961304
Info 36   [20:30:42.918] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [20:30:42.928] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 10.10114799439907ms
Info 38   [20:30:42.928] Different program with same set of files
Info 39   [20:30:43.149] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [20:30:43.151] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 2.1354009956121445ms
Info 41   [20:30:43.152] Different program with same set of files
Info 42   [20:30:43.968] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 43   [20:30:43.971] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 2.4653749987483025ms
Info 44   [20:30:43.971] Different program with same set of files
Info 45   [20:30:44.691] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 46   [20:30:44.697] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 5.918780997395515ms
Info 47   [20:30:44.697] Different program with same set of files
Info 48   [20:30:45.206] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 49   [20:30:45.211] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 5.0696970000863075ms
Info 50   [20:30:45.212] Different program with same set of files
Info 51   [20:30:49.661] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 52   [20:30:49.664] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 2.7072329968214035ms
Info 53   [20:30:49.664] Different program with same set of files
Info 54   [20:30:51.054] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 55   [20:30:51.063] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 8.884387001395226ms
Info 56   [20:30:51.063] Different program with same set of files
Info 57   [20:30:51.855] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 58   [20:30:51.869] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 13.535567000508308ms
Info 59   [20:30:51.869] Different program with same set of files
Info 60   [20:30:52.212] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 61   [20:30:52.222] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 9.563388004899025ms
Info 62   [20:30:52.222] Different program with same set of files
Info 63   [20:30:52.710] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 64   [20:30:52.718] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 7.42399300634861ms
Info 65   [20:30:52.718] Different program with same set of files
Info 66   [20:30:57.611] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [20:30:57.616] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 5.0975660011172295ms
Info 68   [20:30:57.616] Different program with same set of files
Info 69   [20:30:59.171] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [20:30:59.179] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 7.844893001019955ms
Info 71   [20:30:59.179] Different program with same set of files
Info 72   [20:31:00.319] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 73   [20:31:00.330] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 10.39367800205946ms
Info 74   [20:31:00.330] Different program with same set of files
Info 75   [20:31:12.679] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 76   [20:31:12.685] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 6.138461999595165ms
Info 77   [20:31:12.685] Different program with same set of files
